fixture_id,date,home_team,home_id,away_team,away_id,home_goals,away_goals,home_win,draw,away_win
1213441,2024-08-09,Groningen,202,NAC Breda,203,4,1,1,0,0
1213442,2024-08-10,Feyenoord,209,Willem II,195,1,1,0,1,0
1213443,2024-08-10,NEC Nijmegen,413,Twente,415,1,2,0,0,1
1213444,2024-08-10,Almere City FC,419,AZ Alkmaar,201,0,1,0,0,1
1213445,2024-08-10,PSV Eindhoven,197,Waalwijk,417,5,1,1,0,0
1213446,2024-08-11,Sparta Rotterdam,426,Heracles,206,0,0,0,1,0
1213447,2024-08-11,Utrecht,207,PEC Zwolle,193,1,0,1,0,0
1213448,2024-08-11,GO Ahead Eagles,410,Fortuna Sittard,205,0,2,0,0,1
1213449,2024-08-11,Ajax,194,Heerenveen,210,1,0,1,0,0
1213450,2024-08-16,Fortuna Sittard,205,Almere City FC,419,3,0,1,0,0
1213451,2024-08-17,Heerenveen,210,Utrecht,207,1,1,0,1,0
1213452,2024-08-17,Twente,415,Sparta Rotterdam,426,1,1,0,1,0
1213453,2024-08-17,AZ Alkmaar,201,NEC Nijmegen,413,1,0,1,0,0
1213454,2024-08-17,Waalwijk,417,Groningen,202,1,2,0,0,1
1213455,2024-08-18,Heracles,206,PSV Eindhoven,197,1,3,0,0,1
1213456,2024-08-18,PEC Zwolle,193,Feyenoord,209,1,5,0,0,1
1213457,2024-08-18,Willem II,195,GO Ahead Eagles,410,2,0,1,0,0
1213458,2024-08-18,NAC Breda,203,Ajax,194,2,1,1,0,0
1213459,2024-08-24,NEC Nijmegen,413,PEC Zwolle,193,1,0,1,0,0
1213460,2024-08-24,Almere City FC,419,PSV Eindhoven,197,1,7,0,0,1
1213461,2024-08-24,NAC Breda,203,Utrecht,207,1,2,0,0,1
1213464,2024-08-25,Groningen,202,AZ Alkmaar,201,0,0,0,1,0
1213465,2024-08-25,Heracles,206,Willem II,195,1,1,0,1,0
1213466,2024-08-25,Sparta Rotterdam,426,Feyenoord,209,1,1,0,1,0
1213467,2024-08-25,GO Ahead Eagles,410,Waalwijk,417,2,0,1,0,0
1213468,2024-08-30,Waalwijk,417,AZ Alkmaar,201,0,3,0,0,1
1213469,2024-08-31,Almere City FC,419,Groningen,202,1,1,0,1,0
