fixture_id,date,home_team,home_id,away_team,away_id,home_goals,away_goals,home_win,draw,away_win
540406,2025-08-22,FC Bayern München,5,RB Leipzig,721,6,0,1,0,0
540407,2025-08-23,Eintracht Frankfurt,19,SV Werder Bremen,12,4,1,1,0,0
540408,2025-08-23,Bayer 04 Leverkusen,3,TSG 1899 Hoffenheim,2,1,2,0,0,1
540409,2025-08-23,SC Freiburg,17,FC Augsburg,16,1,3,0,0,1
540412,2025-08-23,1. FC Union Berlin,28,VfB Stuttgart,10,2,1,1,0,0
540414,2025-08-23,1. FC Heidenheim 1846,44,VfL Wolfsburg,11,1,3,0,0,1
540413,2025-08-23,FC St. Pauli 1910,20,Borussia Dortmund,4,3,3,0,1,0
540410,2025-08-24,1. FSV Mainz 05,15,1. FC Köln,1,0,1,0,0,1
540411,2025-08-24,Borussia Mönchengladbach,18,Hamburger SV,7,0,0,0,1,0
540423,2025-08-29,Hamburger SV,7,FC St. Pauli 1910,20,0,2,0,0,1
540416,2025-08-30,RB Leipzig,721,1. FC Heidenheim 1846,44,2,0,1,0,0
540417,2025-08-30,SV Werder Bremen,12,Bayer 04 Leverkusen,3,3,3,0,1,0
540418,2025-08-30,VfB Stuttgart,10,Borussia Mönchengladbach,18,1,0,1,0,0
540421,2025-08-30,TSG 1899 Hoffenheim,2,Eintracht Frankfurt,19,1,3,0,0,1
540420,2025-08-30,FC Augsburg,16,FC Bayern München,5,2,3,0,0,1
540419,2025-08-31,VfL Wolfsburg,11,1. FSV Mainz 05,15,1,1,0,1,0
540415,2025-08-31,Borussia Dortmund,4,1. FC Union Berlin,28,3,0,1,0,0
540422,2025-08-31,1. FC Köln,1,SC Freiburg,17,4,1,1,0,0
540425,2025-09-12,Bayer 04 Leverkusen,3,Eintracht Frankfurt,19,3,1,1,0,0
540426,2025-09-13,SC Freiburg,17,VfB Stuttgart,10,3,1,1,0,0
540427,2025-09-13,1. FSV Mainz 05,15,RB Leipzig,721,0,1,0,0,1
540429,2025-09-13,VfL Wolfsburg,11,1. FC Köln,1,3,3,0,1,0
540430,2025-09-13,1. FC Union Berlin,28,TSG 1899 Hoffenheim,2,2,4,0,0,1
540432,2025-09-13,1. FC Heidenheim 1846,44,Borussia Dortmund,4,0,2,0,0,1
540424,2025-09-13,FC Bayern München,5,Hamburger SV,7,5,0,1,0,0
540431,2025-09-14,FC St. Pauli 1910,20,FC Augsburg,16,2,1,1,0,0
540428,2025-09-14,Borussia Mönchengladbach,18,SV Werder Bremen,12,0,4,0,0,1
540438,2025-09-19,VfB Stuttgart,10,FC St. Pauli 1910,20,2,0,1,0,0
540437,2025-09-20,SV Werder Bremen,12,SC Freiburg,17,0,3,0,0,1
540439,2025-09-20,FC Augsburg,16,1. FSV Mainz 05,15,1,4,0,0,1
540440,2025-09-20,TSG 1899 Hoffenheim,2,FC Bayern München,5,1,4,0,0,1
540441,2025-09-20,Hamburger SV,7,1. FC Heidenheim 1846,44,2,1,1,0,0
540436,2025-09-20,RB Leipzig,721,1. FC Köln,1,3,1,1,0,0
540434,2025-09-21,Eintracht Frankfurt,19,1. FC Union Berlin,28,3,4,0,0,1
540433,2025-09-21,Bayer 04 Leverkusen,3,Borussia Mönchengladbach,18,1,1,0,1,0
540435,2025-09-21,Borussia Dortmund,4,VfL Wolfsburg,11,1,0,1,0,0
540442,2025-09-26,FC Bayern München,5,SV Werder Bremen,12,4,0,1,0,0
540444,2025-09-27,1. FSV Mainz 05,15,Borussia Dortmund,4,0,2,0,0,1
540446,2025-09-27,VfL Wolfsburg,11,RB Leipzig,721,0,1,0,0,1
540448,2025-09-27,FC St. Pauli 1910,20,Bayer 04 Leverkusen,3,1,2,0,0,1
540449,2025-09-27,1. FC Heidenheim 1846,44,FC Augsburg,16,2,1,1,0,0
