fixture_id,date,home_team,home_id,away_team,away_id,home_goals,away_goals,home_win,draw,away_win
551981,2025-09-16,Athletic Club,77,Arsenal FC,57,0,2,0,0,1
552049,2025-09-16,PSV,674,Royale Union Saint-Gilloise,3929,1,3,0,0,1
551941,2025-09-16,Juventus FC,109,Borussia Dortmund,4,4,4,0,1,0
551991,2025-09-16,Sport Lisboa e Benfica,1903,Qarabağ Ağdam FK,611,2,3,0,0,1
552012,2025-09-16,Tottenham Hotspur FC,73,Villarreal CF,94,1,0,1,0,0
551927,2025-09-16,Real Madrid CF,86,Olympique de Marseille,516,2,1,1,0,0
552023,2025-09-17,SK Slavia Praha,930,FK Bodø/Glimt,5721,2,2,0,1,0
552031,2025-09-17,PAE Olympiakos SFP,654,Paphos FC,11034,0,0,0,1,0
551936,2025-09-17,AFC Ajax,678,FC Internazionale Milano,108,0,2,0,0,1
551946,2025-09-17,Liverpool FC,64,Club Atlético de Madrid,78,3,2,1,0,0
551959,2025-09-17,Paris Saint-Germain FC,524,Atalanta BC,102,4,0,1,0,0
551908,2025-09-17,FC Bayern München,5,Chelsea FC,61,3,1,1,0,0
551975,2025-09-18,FC København,1876,Bayer 04 Leverkusen,3,2,2,0,1,0
551995,2025-09-18,Club Brugge KV,851,AS Monaco FC,548,4,1,1,0,0
551958,2025-09-18,Newcastle United FC,67,FC Barcelona,81,1,2,0,0,1
551965,2025-09-18,Manchester City FC,65,SSC Napoli,113,2,0,1,0,0
552000,2025-09-18,Eintracht Frankfurt,19,Galatasaray SK,610,5,1,1,0,0
552027,2025-09-18,Sporting Clube de Portugal,498,FK Kairat,10601,4,1,1,0,0
551982,2025-09-30,Atalanta BC,102,Club Brugge KV,851,2,1,1,0,0
551930,2025-09-30,FK Kairat,10601,Real Madrid CF,86,0,5,0,0,1
551951,2025-09-30,Galatasaray SK,610,Liverpool FC,64,1,0,1,0,0
551997,2025-09-30,Club Atlético de Madrid,78,Eintracht Frankfurt,19,5,1,1,0,0
552015,2025-09-30,Olympique de Marseille,516,AFC Ajax,678,4,0,1,0,0
552020,2025-09-30,FK Bodø/Glimt,5721,Tottenham Hotspur FC,73,2,2,0,1,0
551915,2025-09-30,Paphos FC,11034,FC Bayern München,5,1,5,0,0,1
551917,2025-09-30,Chelsea FC,61,Sport Lisboa e Benfica,1903,1,0,1,0,0
551935,2025-09-30,FC Internazionale Milano,108,SK Slavia Praha,930,3,0,1,0,0
552039,2025-10-01,Qarabağ Ağdam FK,611,FC København,1876,2,0,1,0,0
552044,2025-10-01,Royale Union Saint-Gilloise,3929,Newcastle United FC,67,0,4,0,0,1
551944,2025-10-01,Borussia Dortmund,4,Athletic Club,77,4,1,1,0,0
551952,2025-10-01,FC Barcelona,81,Paris Saint-Germain FC,524,1,2,0,0,1
551968,2025-10-01,AS Monaco FC,548,Manchester City FC,65,2,2,0,1,0
551972,2025-10-01,Bayer 04 Leverkusen,3,PSV,674,1,1,0,1,0
551978,2025-10-01,Arsenal FC,57,PAE Olympiakos SFP,654,2,0,1,0,0
552002,2025-10-01,Villarreal CF,94,Juventus FC,109,2,2,0,1,0
