fixture_id,date,home_team,home_id,away_team,away_id,home_goals,away_goals,home_win,draw,away_win
537441,2025-08-08,Fortuna Sittard,1920,Go Ahead Eagles,718,2,2,0,1,0
537442,2025-08-09,NEC,1915,SBV Excelsior,670,5,0,1,0,0
537443,2025-08-09,Feyenoord Rotterdam,675,NAC Breda,681,2,0,1,0,0
537444,2025-08-09,SC Heerenveen,673,FC Volendam,1919,1,1,0,1,0
537445,2025-08-09,PSV,674,Sparta Rotterdam,6806,6,1,1,0,0
537446,2025-08-10,PEC Zwolle,684,FC Twente '65,666,1,0,1,0,0
537447,2025-08-10,AFC Ajax,678,Telstar 1963,1912,2,0,1,0,0
537448,2025-08-10,AZ,682,FC Groningen,677,4,1,1,0,0
537449,2025-08-10,FC Utrecht,676,Heracles Almelo,671,4,0,1,0,0
537450,2025-08-15,Telstar 1963,1912,PEC Zwolle,684,0,2,0,0,1
537452,2025-08-16,SBV Excelsior,670,Feyenoord Rotterdam,675,1,2,0,0,1
537453,2025-08-16,Heracles Almelo,671,NEC,1915,1,4,0,0,1
537451,2025-08-16,FC Groningen,677,SC Heerenveen,673,2,1,1,0,0
537454,2025-08-17,Go Ahead Eagles,718,AFC Ajax,678,2,2,0,1,0
537455,2025-08-17,Sparta Rotterdam,6806,FC Utrecht,676,2,1,1,0,0
537456,2025-08-17,FC Twente '65,666,PSV,674,0,2,0,0,1
537457,2025-08-17,FC Volendam,1919,AZ,682,2,2,0,1,0
537458,2025-08-17,NAC Breda,681,Fortuna Sittard,1920,2,1,1,0,0
537459,2025-08-23,Go Ahead Eagles,718,Sparta Rotterdam,6806,0,3,0,0,1
537460,2025-08-23,PSV,674,FC Groningen,677,4,2,1,0,0
537461,2025-08-23,Telstar 1963,1912,FC Volendam,1919,2,2,0,1,0
537463,2025-08-24,SC Heerenveen,673,FC Twente '65,666,1,2,0,0,1
537464,2025-08-24,FC Utrecht,676,SBV Excelsior,670,4,1,1,0,0
537465,2025-08-24,NEC,1915,NAC Breda,681,3,0,1,0,0
537466,2025-08-24,AFC Ajax,678,Heracles Almelo,671,2,0,1,0,0
537468,2025-08-29,FC Groningen,677,Heracles Almelo,671,4,0,1,0,0
537469,2025-08-30,FC Volendam,1919,AFC Ajax,678,1,1,0,1,0
537470,2025-08-30,SC Heerenveen,673,Go Ahead Eagles,718,2,2,0,1,0
537471,2025-08-30,PSV,674,Telstar 1963,1912,0,2,0,0,1
537472,2025-08-30,SBV Excelsior,670,FC Twente '65,666,1,0,1,0,0
537473,2025-08-31,Fortuna Sittard,1920,NEC,1915,3,2,1,0,0
537474,2025-08-31,PEC Zwolle,684,FC Utrecht,676,0,2,0,0,1
537475,2025-08-31,Sparta Rotterdam,6806,Feyenoord Rotterdam,675,0,4,0,0,1
537476,2025-08-31,NAC Breda,681,AZ,682,0,1,0,0,1
537477,2025-09-13,AFC Ajax,678,PEC Zwolle,684,3,1,1,0,0
537479,2025-09-13,NEC,1915,PSV,674,3,5,0,0,1
537478,2025-09-13,Go Ahead Eagles,718,FC Volendam,1919,3,0,1,0,0
