fixture_id,date,home_team,home_id,away_team,away_id,home_goals,away_goals,home_win,draw,away_win
542414,2025-08-15,Stade Rennais FC 1901,529,Olympique de Marseille,516,1,0,1,0,0
542411,2025-08-16,Racing Club de Lens,546,Olympique Lyonnais,523,0,1,0,0,1
542407,2025-08-16,AS Monaco FC,548,Le Havre AC,533,3,1,1,0,0
542410,2025-08-16,OGC Nice,522,Toulouse FC,511,0,1,0,0,1
542413,2025-08-17,Stade Brestois 29,512,Lille OSC,521,3,3,0,1,0
542406,2025-08-17,AJ Auxerre,519,FC Lorient,525,1,0,1,0,0
542408,2025-08-17,FC Metz,545,RC Strasbourg Alsace,576,0,1,0,0,1
542412,2025-08-17,Angers SCO,532,Paris FC,1045,1,0,1,0,0
542409,2025-08-17,FC Nantes,543,Paris Saint-Germain FC,524,0,1,0,0,1
542422,2025-08-22,Paris Saint-Germain FC,524,Angers SCO,532,1,0,1,0,0
542420,2025-08-23,Olympique de Marseille,516,Paris FC,1045,5,2,1,0,0
542418,2025-08-23,OGC Nice,522,AJ Auxerre,519,3,1,1,0,0
542419,2025-08-23,Olympique Lyonnais,523,FC Metz,545,3,0,1,0,0
542416,2025-08-24,FC Lorient,525,Stade Rennais FC 1901,529,4,0,1,0,0
542415,2025-08-24,Le Havre AC,533,Racing Club de Lens,546,1,2,0,0,1
542417,2025-08-24,Toulouse FC,511,Stade Brestois 29,512,2,0,1,0,0
542423,2025-08-24,RC Strasbourg Alsace,576,FC Nantes,543,1,0,1,0,0
542421,2025-08-24,Lille OSC,521,AS Monaco FC,548,1,0,1,0,0
542431,2025-08-29,Racing Club de Lens,546,Stade Brestois 29,512,3,1,1,0,0
542426,2025-08-30,FC Lorient,525,Lille OSC,521,1,7,0,0,1
542427,2025-08-30,FC Nantes,543,AJ Auxerre,519,1,0,1,0,0
542429,2025-08-30,Toulouse FC,511,Paris Saint-Germain FC,524,3,6,0,0,1
542432,2025-08-31,Angers SCO,532,Stade Rennais FC 1901,529,1,1,0,1,0
542424,2025-08-31,Le Havre AC,533,OGC Nice,522,3,1,1,0,0
542425,2025-08-31,AS Monaco FC,548,RC Strasbourg Alsace,576,3,2,1,0,0
542428,2025-08-31,Paris FC,1045,FC Metz,545,3,2,1,0,0
542430,2025-08-31,Olympique Lyonnais,523,Olympique de Marseille,516,1,0,1,0,0
542436,2025-09-12,Olympique de Marseille,516,FC Lorient,525,4,0,1,0,0
542435,2025-09-13,OGC Nice,522,FC Nantes,543,1,0,1,0,0
542433,2025-09-13,AJ Auxerre,519,AS Monaco FC,548,1,2,0,0,1
542437,2025-09-14,Lille OSC,521,Toulouse FC,511,2,1,1,0,0
542434,2025-09-14,FC Metz,545,Angers SCO,532,1,1,0,1,0
542438,2025-09-14,Paris Saint-Germain FC,524,Racing Club de Lens,546,2,0,1,0,0
542439,2025-09-14,RC Strasbourg Alsace,576,Le Havre AC,533,1,0,1,0,0
542440,2025-09-14,Stade Brestois 29,512,Paris FC,1045,1,2,0,0,1
542441,2025-09-14,Stade Rennais FC 1901,529,Olympique Lyonnais,523,3,1,1,0,0
542448,2025-09-19,Olympique Lyonnais,523,Angers SCO,532,1,0,1,0,0
542445,2025-09-20,FC Nantes,543,Stade Rennais FC 1901,529,2,2,0,1,0
542450,2025-09-20,Stade Brestois 29,512,OGC Nice,522,4,1,1,0,0
542449,2025-09-20,Racing Club de Lens,546,Lille OSC,521,3,0,1,0,0
542446,2025-09-21,Paris FC,1045,RC Strasbourg Alsace,576,2,3,0,0,1
542442,2025-09-21,Le Havre AC,533,FC Lorient,525,1,1,0,1,0
542443,2025-09-21,AJ Auxerre,519,Toulouse FC,511,1,0,1,0,0
542444,2025-09-21,AS Monaco FC,548,FC Metz,545,5,2,1,0,0
542447,2025-09-22,Olympique de Marseille,516,Paris Saint-Germain FC,524,1,0,1,0,0
542457,2025-09-26,RC Strasbourg Alsace,576,Olympique de Marseille,516,1,2,0,0,1
542451,2025-09-27,FC Lorient,525,AS Monaco FC,548,3,1,1,0,0
542453,2025-09-27,Toulouse FC,511,FC Nantes,543,2,2,0,1,0
542456,2025-09-27,Paris Saint-Germain FC,524,AJ Auxerre,519,2,0,1,0,0
542454,2025-09-28,OGC Nice,522,Paris FC,1045,1,1,0,1,0
542452,2025-09-28,FC Metz,545,Le Havre AC,533,0,0,0,1,0
542455,2025-09-28,Lille OSC,521,Olympique Lyonnais,523,0,1,0,0,1
542458,2025-09-28,Angers SCO,532,Stade Brestois 29,512,0,2,0,0,1
542459,2025-09-28,Stade Rennais FC 1901,529,Racing Club de Lens,546,0,0,0,1,0
542464,2025-10-03,Paris FC,1045,FC Lorient,525,2,0,1,0,0
542463,2025-10-04,FC Metz,545,Olympique de Marseille,516,0,3,0,0,1
542468,2025-10-04,Stade Brestois 29,512,FC Nantes,543,0,0,0,1,0
542461,2025-10-04,AJ Auxerre,519,Racing Club de Lens,546,1,2,0,0,1
542465,2025-10-05,Olympique Lyonnais,523,Toulouse FC,511,1,2,0,0,1
542467,2025-10-05,RC Strasbourg Alsace,576,Angers SCO,532,5,0,1,0,0
542460,2025-10-05,Le Havre AC,533,Stade Rennais FC 1901,529,2,2,0,1,0
542462,2025-10-05,AS Monaco FC,548,OGC Nice,522,2,2,0,1,0
542466,2025-10-05,Lille OSC,521,Paris Saint-Germain FC,524,1,1,0,1,0
