fixture_id,date,home_team,home_id,away_team,away_id,home_goals,away_goals,home_win,draw,away_win
545700,2025-08-08,Casa Pia AC,6618,Sporting Clube de Portugal,498,0,2,0,0,1
545706,2025-08-09,CD Nacional,5529,Gil Vicente FC,5533,0,2,0,0,1
545703,2025-08-09,FC Arouca,712,AVS,10340,3,1,1,0,0
545707,2025-08-10,FC Famalicão,5531,CD Santa Clara,5530,3,0,1,0,0
545701,2025-08-10,Sporting Clube de Braga,5613,CD Tondela,1049,3,0,1,0,0
545705,2025-08-10,Moreirense FC,583,FC Alverca,7822,2,1,1,0,0
545704,2025-08-11,GD Estoril Praia,582,CF Estrela da Amadora,9136,1,1,0,1,0
545708,2025-08-11,FC Porto,503,Vitória SC,5543,3,0,1,0,0
545709,2025-08-15,AVS,10340,Casa Pia AC,6618,0,2,0,0,1
545716,2025-08-16,CD Tondela,1049,FC Famalicão,5531,0,1,0,0,1
545714,2025-08-16,Vitória SC,5543,GD Estoril Praia,582,3,2,1,0,0
545717,2025-08-16,CF Estrela da Amadora,9136,Sport Lisboa e Benfica,1903,0,1,0,0,1
545713,2025-08-17,Rio Ave FC,496,CD Nacional,5529,1,1,0,1,0
545710,2025-08-17,FC Alverca,7822,Sporting Clube de Braga,5613,0,3,0,0,1
545712,2025-08-17,CD Santa Clara,5530,Moreirense FC,583,0,1,0,0,1
545715,2025-08-17,Sporting Clube de Portugal,498,FC Arouca,712,6,0,1,0,0
545711,2025-08-18,Gil Vicente FC,5533,FC Porto,503,0,2,0,0,1
545726,2025-08-23,Moreirense FC,583,Vitória SC,5543,2,0,1,0,0
545718,2025-08-23,CD Nacional,5529,Sporting Clube de Portugal,498,1,4,0,0,1
545719,2025-08-23,FC Arouca,712,Rio Ave FC,496,3,3,0,1,0
545721,2025-08-23,Sport Lisboa e Benfica,1903,CD Tondela,1049,3,0,1,0,0
545720,2025-08-24,FC Famalicão,5531,Gil Vicente FC,5533,0,0,0,1,0
545723,2025-08-24,FC Porto,503,Casa Pia AC,6618,4,0,1,0,0
545722,2025-08-24,Sporting Clube de Braga,5613,AVS,10340,2,2,0,1,0
545724,2025-08-25,CF Estrela da Amadora,9136,FC Alverca,7822,2,2,0,1,0
545730,2025-08-29,Gil Vicente FC,5533,Moreirense FC,583,2,0,1,0,0
545728,2025-08-30,Casa Pia AC,6618,CD Nacional,5529,0,2,0,0,1
545727,2025-08-30,AVS,10340,FC Famalicão,5531,0,1,0,0,1
545733,2025-08-30,Vitória SC,5543,FC Arouca,712,1,1,0,1,0
545734,2025-08-30,Sporting Clube de Portugal,498,FC Porto,503,1,2,0,0,1
545732,2025-08-31,CD Tondela,1049,GD Estoril Praia,582,2,2,0,1,0
545729,2025-08-31,FC Alverca,7822,Sport Lisboa e Benfica,1903,1,2,0,0,1
545731,2025-08-31,CD Santa Clara,5530,CF Estrela da Amadora,9136,0,0,0,1,0
545735,2025-08-31,Rio Ave FC,496,Sporting Clube de Braga,5613,2,2,0,1,0
545725,2025-09-06,GD Estoril Praia,582,CD Santa Clara,5530,0,1,0,0,1
545737,2025-09-12,FC Alverca,7822,CD Tondela,1049,1,0,1,0,0
545742,2025-09-12,Sport Lisboa e Benfica,1903,CD Santa Clara,5530,1,1,0,1,0
545740,2025-09-13,Moreirense FC,583,Rio Ave FC,496,3,1,1,0,0
545743,2025-09-13,GD Estoril Praia,582,AVS,10340,3,1,1,0,0
545744,2025-09-13,FC Porto,503,CD Nacional,5529,1,0,1,0,0
545739,2025-09-13,FC Famalicão,5531,Sporting Clube de Portugal,498,1,2,0,0,1
545736,2025-09-14,CF Estrela da Amadora,9136,Vitória SC,5543,0,2,0,0,1
545738,2025-09-14,FC Arouca,712,Casa Pia AC,6618,0,2,0,0,1
545741,2025-09-14,Sporting Clube de Braga,5613,Gil Vicente FC,5533,0,1,0,0,1
545751,2025-09-19,Rio Ave FC,496,FC Porto,503,0,3,0,0,1
545749,2025-09-20,CD Santa Clara,5530,FC Alverca,7822,2,1,1,0,0
545750,2025-09-20,CD Nacional,5529,FC Arouca,712,1,2,0,0,1
545745,2025-09-20,AVS,10340,Sport Lisboa e Benfica,1903,0,3,0,0,1
545753,2025-09-20,Vitória SC,5543,Sporting Clube de Braga,5613,1,1,0,1,0
545748,2025-09-21,CD Tondela,1049,CF Estrela da Amadora,9136,0,0,0,1,0
545747,2025-09-21,Gil Vicente FC,5533,GD Estoril Praia,582,2,0,1,0,0
545746,2025-09-21,Casa Pia AC,6618,FC Famalicão,5531,1,1,0,1,0
545752,2025-09-22,Sporting Clube de Portugal,498,Moreirense FC,583,3,0,1,0,0
545702,2025-09-23,Sport Lisboa e Benfica,1903,Rio Ave FC,496,1,1,0,1,0
545760,2025-09-26,Sport Lisboa e Benfica,1903,Gil Vicente FC,5533,2,1,1,0,0
545762,2025-09-27,Moreirense FC,583,Casa Pia AC,6618,2,1,1,0,0
545758,2025-09-27,CD Santa Clara,5530,CD Tondela,1049,1,2,0,0,1
545761,2025-09-27,CF Estrela da Amadora,9136,AVS,10340,3,0,1,0,0
545754,2025-09-27,GD Estoril Praia,582,Sporting Clube de Portugal,498,0,1,0,0,1
545755,2025-09-28,FC Alverca,7822,Vitória SC,5543,2,0,1,0,0
545759,2025-09-28,Sporting Clube de Braga,5613,CD Nacional,5529,0,1,0,0,1
545757,2025-09-28,FC Famalicão,5531,Rio Ave FC,496,0,0,0,1,0
545756,2025-09-29,FC Arouca,712,FC Porto,503,0,4,0,0,1
545764,2025-10-03,Casa Pia AC,6618,GD Estoril Praia,582,2,2,0,1,0
545767,2025-10-04,Gil Vicente FC,5533,CF Estrela da Amadora,9136,2,0,1,0,0
545768,2025-10-04,CD Nacional,5529,Moreirense FC,583,3,2,1,0,0
545763,2025-10-04,AVS,10340,FC Alverca,7822,1,3,0,0,1
545769,2025-10-04,Vitória SC,5543,CD Santa Clara,5530,2,1,1,0,0
545765,2025-10-05,FC Arouca,712,FC Famalicão,5531,1,1,0,1,0
545766,2025-10-05,Rio Ave FC,496,CD Tondela,1049,3,0,1,0,0
545770,2025-10-05,Sporting Clube de Portugal,498,Sporting Clube de Braga,5613,1,1,0,1,0
545771,2025-10-05,FC Porto,503,Sport Lisboa e Benfica,1903,0,0,0,1,0
545774,2025-10-24,FC Alverca,7822,Gil Vicente FC,5533,0,4,0,0,1
545778,2025-10-25,CD Santa Clara,5530,AVS,10340,2,0,1,0,0
545773,2025-10-25,CF Estrela da Amadora,9136,Rio Ave FC,496,1,2,0,0,1
545779,2025-10-25,Sport Lisboa e Benfica,1903,FC Arouca,712,5,0,1,0,0
545772,2025-10-26,GD Estoril Praia,582,CD Nacional,5529,1,1,0,1,0
545775,2025-10-26,FC Famalicão,5531,Vitória SC,5543,2,0,1,0,0
545780,2025-10-26,CD Tondela,1049,Sporting Clube de Portugal,498,0,3,0,0,1
545777,2025-10-26,Sporting Clube de Braga,5613,Casa Pia AC,6618,4,0,1,0,0
545776,2025-10-27,Moreirense FC,583,FC Porto,503,1,2,0,0,1
545785,2025-10-31,Sporting Clube de Portugal,498,FC Alverca,7822,2,0,1,0,0
545786,2025-11-01,CD Nacional,5529,FC Famalicão,5531,0,1,0,0,1
545782,2025-11-01,Casa Pia AC,6618,CF Estrela da Amadora,9136,3,5,0,0,1
545784,2025-11-01,Rio Ave FC,496,GD Estoril Praia,582,0,4,0,0,1
545789,2025-11-01,Vitória SC,5543,Sport Lisboa e Benfica,1903,0,3,0,0,1
545781,2025-11-02,AVS,10340,CD Tondela,1049,2,2,0,1,0
545783,2025-11-02,FC Arouca,712,Moreirense FC,583,0,2,0,0,1
545788,2025-11-02,FC Porto,503,Sporting Clube de Braga,5613,2,1,1,0,0
545787,2025-11-03,Gil Vicente FC,5533,CD Santa Clara,5530,1,0,1,0,0
545797,2025-11-07,GD Estoril Praia,582,FC Arouca,712,4,3,1,0,0
545792,2025-11-08,FC Alverca,7822,Rio Ave FC,496,1,1,0,1,0
545798,2025-11-08,CD Tondela,1049,Vitória SC,5543,0,1,0,0,1
545794,2025-11-08,CD Santa Clara,5530,Sporting Clube de Portugal,498,1,2,0,0,1
545790,2025-11-09,AVS,10340,Gil Vicente FC,5533,1,1,0,1,0
545791,2025-11-09,CF Estrela da Amadora,9136,CD Nacional,5529,1,1,0,1,0
545793,2025-11-09,FC Famalicão,5531,FC Porto,503,0,1,0,0,1
545795,2025-11-09,Sporting Clube de Braga,5613,Moreirense FC,583,2,1,1,0,0
545796,2025-11-09,Sport Lisboa e Benfica,1903,Casa Pia AC,6618,2,2,0,1,0
545801,2025-11-28,Vitória SC,5543,AVS,10340,4,0,1,0,0
545804,2025-11-29,Casa Pia AC,6618,FC Alverca,7822,0,2,0,0,1
545805,2025-11-29,Moreirense FC,583,FC Famalicão,5531,2,2,0,1,0
545807,2025-11-29,CD Nacional,5529,Sport Lisboa e Benfica,1903,1,2,0,0,1
545800,2025-11-29,Gil Vicente FC,5533,CD Tondela,1049,0,1,0,0,1
545806,2025-11-30,Rio Ave FC,496,CD Santa Clara,5530,1,1,0,1,0
545803,2025-11-30,Sporting Clube de Portugal,498,CF Estrela da Amadora,9136,4,0,1,0,0
545802,2025-11-30,FC Porto,503,GD Estoril Praia,582,1,0,1,0,0
545799,2025-12-01,FC Arouca,712,Sporting Clube de Braga,5613,0,4,0,0,1
545812,2025-12-05,Sport Lisboa e Benfica,1903,Sporting Clube de Portugal,498,1,1,0,1,0
545811,2025-12-06,CD Santa Clara,5530,Casa Pia AC,6618,1,0,1,0,0
545808,2025-12-06,AVS,10340,Rio Ave FC,496,1,2,0,0,1
545816,2025-12-06,FC Famalicão,5531,Sporting Clube de Braga,5613,1,2,0,0,1
545809,2025-12-07,GD Estoril Praia,582,Moreirense FC,583,3,3,0,1,0
545810,2025-12-07,FC Alverca,7822,CD Nacional,5529,1,0,1,0,0
545814,2025-12-07,CF Estrela da Amadora,9136,FC Arouca,712,3,1,1,0,0
545815,2025-12-07,CD Tondela,1049,FC Porto,503,0,2,0,0,1
545813,2025-12-08,Vitória SC,5543,Gil Vicente FC,5533,0,0,0,1,0
545817,2025-12-13,Casa Pia AC,6618,Gil Vicente FC,5533,1,1,0,1,0
545825,2025-12-13,Rio Ave FC,496,Vitória SC,5543,0,1,0,0,1
545820,2025-12-13,Sporting Clube de Portugal,498,AVS,10340,6,0,1,0,0
545821,2025-12-14,FC Famalicão,5531,GD Estoril Praia,582,4,0,1,0,0
545824,2025-12-14,Moreirense FC,583,Sport Lisboa e Benfica,1903,0,4,0,0,1
545823,2025-12-14,FC Arouca,712,FC Alverca,7822,1,0,1,0,0
545818,2025-12-15,CD Nacional,5529,CD Tondela,1049,3,1,1,0,0
545819,2025-12-15,Sporting Clube de Braga,5613,CD Santa Clara,5530,1,0,1,0,0
545822,2025-12-15,FC Porto,503,CF Estrela da Amadora,9136,3,1,1,0,0
545834,2025-12-19,GD Estoril Praia,582,Sporting Clube de Braga,5613,1,0,1,0,0
545829,2025-12-20,Gil Vicente FC,5533,Rio Ave FC,496,2,2,0,1,0
545827,2025-12-20,CF Estrela da Amadora,9136,Moreirense FC,583,0,0,0,1,0
545826,2025-12-21,AVS,10340,CD Nacional,5529,2,2,0,1,0
545832,2025-12-21,CD Tondela,1049,Casa Pia AC,6618,1,2,0,0,1
545833,2025-12-21,CD Santa Clara,5530,FC Arouca,712,0,0,0,1,0
545828,2025-12-22,FC Alverca,7822,FC Porto,503,0,3,0,0,1
545830,2025-12-22,Sport Lisboa e Benfica,1903,FC Famalicão,5531,1,0,1,0,0
545831,2025-12-23,Vitória SC,5543,Sporting Clube de Portugal,498,1,4,0,0,1
545839,2025-12-27,FC Famalicão,5531,CF Estrela da Amadora,9136,2,3,0,0,1
545840,2025-12-27,GD Estoril Praia,582,FC Alverca,7822,4,1,1,0,0
545835,2025-12-28,Casa Pia AC,6618,Vitória SC,5543,0,0,0,1,0
545836,2025-12-28,FC Arouca,712,Gil Vicente FC,5533,2,2,0,1,0
545843,2025-12-28,Sporting Clube de Braga,5613,Sport Lisboa e Benfica,1903,2,2,0,1,0
