fixture_id,league,league_id,home_team,home_id,away_team,away_id,kickoff,round,stage
544509,La Liga,PD,Rayo Vallecano de Madrid,87,Elche CF,285,2026-04-03T19:00:00Z,30,REGULAR_SEASON
544510,La Liga,PD,Real Sociedad de Fútbol,92,Levante UD,88,2026-04-04T12:00:00Z,30,REGULAR_SEASON
544505,La Liga,PD,RCD Mallorca,89,Real Madrid CF,86,2026-04-04T14:15:00Z,30,REGULAR_SEASON
544503,La Liga,PD,Real Betis Balompié,90,RCD Espanyol de Barcelona,80,2026-04-04T16:30:00Z,30,REGULAR_SEASON
544502,La Liga,PD,Club Atlético de Madrid,78,FC Barcelona,81,2026-04-04T19:00:00Z,30,REGULAR_SEASON
544507,La Liga,PD,Getafe CF,82,Athletic Club,77,2026-04-05T12:00:00Z,30,REGULAR_SEASON
544508,La Liga,PD,Valencia CF,95,RC Celta de Vigo,558,2026-04-05T14:15:00Z,30,REGULAR_SEASON
544506,La Liga,PD,Real Oviedo,1048,Sevilla FC,559,2026-04-05T16:30:00Z,30,REGULAR_SEASON
544501,La Liga,PD,Deportivo Alavés,263,CA Osasuna,79,2026-04-05T19:00:00Z,30,REGULAR_SEASON
540649,Bundesliga,BL1,SC Freiburg,17,FC Bayern München,5,2026-04-04T13:30:00Z,28,REGULAR_SEASON
540651,Bundesliga,BL1,TSG 1899 Hoffenheim,2,1. FSV Mainz 05,15,2026-04-04T13:30:00Z,28,REGULAR_SEASON
540652,Bundesliga,BL1,SV Werder Bremen,12,RB Leipzig,721,2026-04-04T13:30:00Z,28,REGULAR_SEASON
540653,Bundesliga,BL1,Bayer 04 Leverkusen,3,VfL Wolfsburg,11,2026-04-04T13:30:00Z,28,REGULAR_SEASON
540654,Bundesliga,BL1,Hamburger SV,7,FC Augsburg,16,2026-04-04T13:30:00Z,28,REGULAR_SEASON
540656,Bundesliga,BL1,Borussia Mönchengladbach,18,1. FC Heidenheim 1846,44,2026-04-04T13:30:00Z,28,REGULAR_SEASON
540650,Bundesliga,BL1,VfB Stuttgart,10,Borussia Dortmund,4,2026-04-04T16:30:00Z,28,REGULAR_SEASON
540655,Bundesliga,BL1,1. FC Union Berlin,28,FC St. Pauli 1910,20,2026-04-05T13:30:00Z,28,REGULAR_SEASON
540657,Bundesliga,BL1,Eintracht Frankfurt,19,1. FC Köln,1,2026-04-05T15:30:00Z,28,REGULAR_SEASON
537699,Eredivisie,DED,PSV,674,FC Utrecht,676,2026-04-04T14:30:00Z,29,REGULAR_SEASON
537694,Eredivisie,DED,AZ,682,Fortuna Sittard,1920,2026-04-04T16:45:00Z,29,REGULAR_SEASON
537701,Eredivisie,DED,Telstar 1963,1912,FC Groningen,677,2026-04-04T16:45:00Z,29,REGULAR_SEASON
537693,Eredivisie,DED,AFC Ajax,678,FC Twente '65,666,2026-04-04T19:00:00Z,29,REGULAR_SEASON
537695,Eredivisie,DED,SBV Excelsior,670,NEC,1915,2026-04-04T19:00:00Z,29,REGULAR_SEASON
537697,Eredivisie,DED,Go Ahead Eagles,718,PEC Zwolle,684,2026-04-05T10:15:00Z,29,REGULAR_SEASON
537696,Eredivisie,DED,FC Volendam,1919,Feyenoord Rotterdam,675,2026-04-05T12:30:00Z,29,REGULAR_SEASON
537700,Eredivisie,DED,SC Heerenveen,673,Heracles Almelo,671,2026-04-05T12:30:00Z,29,REGULAR_SEASON
537698,Eredivisie,DED,NAC Breda,681,Sparta Rotterdam,6806,2026-04-05T14:45:00Z,29,REGULAR_SEASON
545951,Liga Portugal,PPL,Vitória SC,5543,CD Tondela,1049,2026-04-03T17:00:00Z,28,REGULAR_SEASON
545947,Liga Portugal,PPL,Sporting Clube de Portugal,498,CD Santa Clara,5530,2026-04-03T19:30:00Z,28,REGULAR_SEASON
545944,Liga Portugal,PPL,CD Nacional,5529,CF Estrela da Amadora,9136,2026-04-04T14:30:00Z,28,REGULAR_SEASON
545945,Liga Portugal,PPL,Rio Ave FC,496,FC Alverca,7822,2026-04-04T17:00:00Z,28,REGULAR_SEASON
545948,Liga Portugal,PPL,Moreirense FC,583,Sporting Clube de Braga,5613,2026-04-04T17:00:00Z,28,REGULAR_SEASON
545946,Liga Portugal,PPL,FC Porto,503,FC Famalicão,5531,2026-04-04T19:30:00Z,28,REGULAR_SEASON
542654,Ligue 1,FL1,Paris Saint-Germain FC,524,Toulouse FC,511,2026-04-03T18:45:00Z,28,REGULAR_SEASON
542655,Ligue 1,FL1,RC Strasbourg Alsace,576,OGC Nice,522,2026-04-04T15:00:00Z,28,REGULAR_SEASON
542657,Ligue 1,FL1,Stade Brestois 29,512,Stade Rennais FC 1901,529,2026-04-04T17:00:00Z,28,REGULAR_SEASON
542653,Ligue 1,FL1,Lille OSC,521,Racing Club de Lens,546,2026-04-04T19:05:00Z,28,REGULAR_SEASON
542656,Ligue 1,FL1,Angers SCO,532,Olympique Lyonnais,523,2026-04-05T13:00:00Z,28,REGULAR_SEASON
542649,Ligue 1,FL1,Le Havre AC,533,AJ Auxerre,519,2026-04-05T15:15:00Z,28,REGULAR_SEASON
542651,Ligue 1,FL1,FC Lorient,525,Paris FC,1045,2026-04-05T15:15:00Z,28,REGULAR_SEASON
542652,Ligue 1,FL1,FC Metz,545,FC Nantes,543,2026-04-05T15:15:00Z,28,REGULAR_SEASON
542650,Ligue 1,FL1,AS Monaco FC,548,Olympique de Marseille,516,2026-04-05T18:45:00Z,28,REGULAR_SEASON
